epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.603446,2.40732,4.98163,2.43062,0.00167,0.5,0.00126,0.00025,2.96971,5.24717,3.03732,0.000333333,0.000333333,0.000333333
2,0.818443,2.21337,5.09479,2.24834,0.00167,0.5,0.00116,0.00012,2.92137,5.24838,3.07753,0.0009802,0.0009802,0.0009802
3,1.04544,2.51489,4.46148,2.4243,0.00167,0.5,0.00116,0.00012,2.92137,5.24838,3.07753,0.00160067,0.00160067,0.00160067
4,1.25945,2.33057,4.70695,2.47579,0.00333,1,0.00345,0.00035,2.79687,5.16849,3.08377,0.0018812,0.0018812,0.0018812
5,1.46644,2.09437,5.6121,2.28101,0.00333,1,0.00345,0.00035,2.79687,5.16849,3.08377,0.0018416,0.0018416,0.0018416
6,1.69019,2.30547,4.91176,2.29405,0.00167,0.5,0.0011,0.00011,2.67101,5.44576,2.99177,0.001802,0.001802,0.001802
7,1.96251,2.59265,5.34062,2.39755,0.00167,0.5,0.0011,0.00011,2.67101,5.44576,2.99177,0.0017624,0.0017624,0.0017624
8,2.1785,2.93242,5.07033,2.71555,0.00167,0.5,0.00096,0.0001,2.61035,5.46842,2.94925,0.0017228,0.0017228,0.0017228
9,2.3835,2.68153,6.14807,2.65575,0.00167,0.5,0.00096,0.0001,2.61035,5.46842,2.94925,0.0016832,0.0016832,0.0016832
10,2.63156,2.35943,4.9642,2.14114,0,0,0,0,2.54002,5.39546,3.97515,0.0016436,0.0016436,0.0016436
11,2.93656,2.24362,4.05075,2.46773,0,0,0,0,2.54002,5.39546,3.97515,0.001604,0.001604,0.001604
12,3.27806,2.28871,4.44931,2.22172,0.00333,1,0.00423,0.00113,2.08284,5.59225,2.73923,0.0015644,0.0015644,0.0015644
13,3.61223,2.3536,4.01794,2.10258,0.00333,1,0.00423,0.00113,2.08284,5.59225,2.73923,0.0015248,0.0015248,0.0015248
14,3.96687,2.50647,4.64448,2.32981,0.00167,0.5,0.00113,0.00037,2.10884,5.24648,2.64625,0.0014852,0.0014852,0.0014852
15,4.28248,2.76308,4.20344,2.08722,0.00167,0.5,0.00113,0.00037,2.10884,5.24648,2.64625,0.0014456,0.0014456,0.0014456
16,4.61966,2.59564,4.11988,2.53469,0.00167,0.5,0.00106,0.00045,2.55712,5.26386,2.90921,0.001406,0.001406,0.001406
17,4.91766,2.22331,4.1196,2.01732,0.00167,0.5,0.00106,0.00045,2.55712,5.26386,2.90921,0.0013664,0.0013664,0.0013664
18,5.22866,2.38097,6.25343,2.23,0.00167,0.5,0.00129,0.00013,2.11899,5.64608,2.82601,0.0013268,0.0013268,0.0013268
