epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.999986,2.78594,5.60316,2.69963,0.00167,0.5,0.0012,0.00024,2.96249,5.23293,3.02692,0.000333333,0.000333333,0.000333333
2,1.28624,2.35349,4.30364,2.06019,0.00167,0.5,0.00117,0.00012,2.89005,5.38771,3.05499,0.0009901,0.0009901,0.0009901
3,1.53822,2.9541,4.31541,2.63446,0.00167,0.5,0.00117,0.00012,2.89005,5.38771,3.05499,0.00163367,0.00163367,0.00163367
4,1.78824,2.68828,4.83662,2.55242,0.00333,1,0.00348,0.00035,2.77546,5.19575,3.05644,0.0019406,0.0019406,0.0019406
5,2.03685,2.56646,4.5901,2.47749,0.00333,1,0.00348,0.00035,2.77546,5.19575,3.05644,0.0019208,0.0019208,0.0019208
6,2.29311,2.6833,6.32907,2.52885,0.00167,0.5,0.001,0.0001,2.68379,5.19914,3.01539,0.001901,0.001901,0.001901
7,2.53433,2.86529,5.78871,2.56186,0.00167,0.5,0.001,0.0001,2.68379,5.19914,3.01539,0.0018812,0.0018812,0.0018812
8,2.78108,2.96498,5.3002,2.45833,0,0,0,0,2.66268,5.09926,3.01393,0.0018614,0.0018614,0.0018614
9,3.03625,2.65768,6.22103,2.80565,0,0,0,0,2.66268,5.09926,3.01393,0.0018416,0.0018416,0.0018416
10,3.33458,2.80908,5.32047,2.56528,0.00167,0.5,0.00157,0.00074,2.61753,6.80892,3.00557,0.0018218,0.0018218,0.0018218
11,3.75563,2.67946,4.61756,2.3232,0.00167,0.5,0.00157,0.00074,2.61753,6.80892,3.00557,0.001802,0.001802,0.001802
12,4.13305,3.03943,4.97281,2.53812,0,0,0,0,2.52549,6.04524,3.18249,0.0017822,0.0017822,0.0017822
13,4.49695,2.85508,4.54403,2.48411,0,0,0,0,2.52549,6.04524,3.18249,0.0017624,0.0017624,0.0017624
14,4.8635,2.94297,4.59079,2.48868,0,0,0,0,2.71543,5.68638,2.84961,0.0017426,0.0017426,0.0017426
15,5.21437,2.88002,4.463,2.34764,0,0,0,0,2.71543,5.68638,2.84961,0.0017228,0.0017228,0.0017228
16,5.57917,2.49065,4.09947,2.268,0,0,0,0,3.19287,6.60116,11.1856,0.001703,0.001703,0.001703
17,5.93292,2.78436,4.31269,2.44073,0,0,0,0,3.19287,6.60116,11.1856,0.0016832,0.0016832,0.0016832
18,6.29962,2.7297,5.93399,2.82197,0.00889,0.5,0.00527,0.00077,2.87308,51.6464,24.1405,0.0016634,0.0016634,0.0016634
19,6.6685,2.6475,4.96629,2.28609,0.00889,0.5,0.00527,0.00077,2.87308,51.6464,24.1405,0.0016436,0.0016436,0.0016436
20,7.05082,2.53467,4.28876,2.40811,0.00167,0.5,0.00098,0.00029,2.80449,14.4238,18.7049,0.0016238,0.0016238,0.0016238
21,7.39827,2.62031,4.78571,2.30853,0.00167,0.5,0.00098,0.00029,2.80449,14.4238,18.7049,0.001604,0.001604,0.001604
22,7.75566,2.93976,4.00114,2.61536,0,0,0,0,3.23445,6.47425,16.3503,0.0015842,0.0015842,0.0015842
23,8.10952,2.64072,5.35732,2.493,0,0,0,0,3.23445,6.47425,16.3503,0.0015644,0.0015644,0.0015644
24,8.53234,1.44603,8.9154,1.35103,0,0,0,0,3.85454,8.36744,12.1669,0.0015446,0.0015446,0.0015446
25,8.88542,2.79427,4.08122,2.5923,0,0,0,0,3.85454,8.36744,12.1669,0.0015248,0.0015248,0.0015248
26,9.23982,2.53972,4.79137,2.3744,0.00167,0.5,0.00124,0.00037,4.1222,5.52537,14.0014,0.001505,0.001505,0.001505
27,9.5917,2.7754,3.9135,2.43264,0.00167,0.5,0.00124,0.00037,4.1222,5.52537,14.0014,0.0014852,0.0014852,0.0014852
28,9.951,2.59332,4.21137,2.36757,0.00333,1,0.009,0.00214,3.3968,10.2652,18.237,0.0014654,0.0014654,0.0014654
29,10.3074,2.81243,3.60359,2.45795,0.00333,1,0.009,0.00214,3.3968,10.2652,18.237,0.0014456,0.0014456,0.0014456
30,10.6779,2.83215,3.74377,2.75753,0.00215,0.5,0.0013,0.00013,4.51034,79.7114,17.0116,0.0014258,0.0014258,0.0014258
31,11.0268,3.50613,5.58846,3.32967,0.00215,0.5,0.0013,0.00013,4.51034,79.7114,17.0116,0.001406,0.001406,0.001406
32,11.3851,2.73948,3.93184,2.61066,0.0029,0.5,0.00146,0.00015,3.44998,160.496,9.77932,0.0013862,0.0013862,0.0013862
33,11.744,2.82219,4.30881,2.73687,0.0029,0.5,0.00146,0.00015,3.44998,160.496,9.77932,0.0013664,0.0013664,0.0013664
34,12.0954,3.58893,10.0955,2.43033,0.01432,0.5,0.00987,0.00418,1.88225,77.87,8.01411,0.0013466,0.0013466,0.0013466
35,12.4553,2.60827,3.97413,2.30004,0.01432,0.5,0.00987,0.00418,1.88225,77.87,8.01411,0.0013268,0.0013268,0.0013268
36,12.8263,3.2766,4.66567,3.1691,0,0,0,0,2.61791,12.6774,16.9803,0.001307,0.001307,0.001307
37,13.1772,2.38933,4.195,2.30885,0,0,0,0,2.61791,12.6774,16.9803,0.0012872,0.0012872,0.0012872
38,13.5362,2.56635,3.7511,2.26601,0.00167,0.5,0.00281,0.00048,2.03977,5.597,3.37154,0.0012674,0.0012674,0.0012674
39,13.8907,2.21662,5.02009,2.13502,0.00167,0.5,0.00281,0.00048,2.03977,5.597,3.37154,0.0012476,0.0012476,0.0012476
40,14.2466,2.52028,3.82622,2.30565,0.00333,1,0.03829,0.00396,2.72279,5.54412,7.19664,0.0012278,0.0012278,0.0012278
41,14.6041,2.71361,3.9929,2.59573,0.00333,1,0.03829,0.00396,2.72279,5.54412,7.19664,0.001208,0.001208,0.001208
42,14.9629,2.67017,3.8471,2.52512,0.00403,1,0.00749,0.00174,3.4998,14.6621,4.7743,0.0011882,0.0011882,0.0011882
43,15.3889,2.02061,4.89116,2.0514,0.00403,1,0.00749,0.00174,3.4998,14.6621,4.7743,0.0011684,0.0011684,0.0011684
44,15.7509,3.00198,4.38806,2.62388,0.00167,0.5,0.00236,0.00062,3.14674,51.7506,4.63281,0.0011486,0.0011486,0.0011486
45,16.1008,2.36584,3.72367,2.41022,0.00167,0.5,0.00236,0.00062,3.14674,51.7506,4.63281,0.0011288,0.0011288,0.0011288
46,16.4617,2.30792,4.58879,2.24694,0,0,0,0,3.38365,75.8449,5.21237,0.001109,0.001109,0.001109
47,16.8127,2.37008,3.47327,2.39848,0,0,0,0,3.38365,75.8449,5.21237,0.0010892,0.0010892,0.0010892
48,17.1742,2.2203,3.45456,2.34292,0,0,0,0,2.6358,59.6649,3.36428,0.0010694,0.0010694,0.0010694
49,17.5281,2.59792,3.22534,2.23486,0,0,0,0,2.6358,59.6649,3.36428,0.0010496,0.0010496,0.0010496
