epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,1.11099,2.47419,4.0054,3.46285,0.28961,0.0089,0.75,0.00743,0.00247,1.94222,4.01895,4.4206,0.15602,0.000555556,0.000555556,0.000555556
2,1.70362,2.50989,4.15824,3.38007,0.32652,0.0057,0.25,0.00167,0.00039,2.80215,4.28153,3.66367,0.41709,0.00119802,0.00119802,0.00119802
3,2.32825,2.23456,3.65496,3.02382,0.3525,0.00341,0.75,0.00304,0.00056,3.19198,11.6236,3.36303,0.40417,0.00181409,0.00181409,0.00181409
4,2.97616,2.15447,3.33302,2.70588,0.34472,0.01105,0.375,0.01201,0.00211,3.00105,3.70807,3.72154,0.30863,0.0018812,0.0018812,0.0018812
5,3.61549,2.10547,3.07989,2.56727,0.35173,0.01304,0.375,0.02568,0.00702,2.85864,3.61516,3.73355,0.24464,0.0018416,0.0018416,0.0018416
6,4.2673,2.10471,2.69752,2.5292,0.36113,0.02541,0.25,0.00871,0.00358,2.57273,5.09141,3.38647,0.28475,0.001802,0.001802,0.001802
7,4.89373,2.10777,2.75736,2.63122,0.30369,0.03006,0.25,0.01155,0.00316,2.64024,4.79122,3.50128,0.43194,0.0017624,0.0017624,0.0017624
8,5.52929,2.1257,2.47923,2.61252,0.30385,0.0459,0.25,0.01307,0.00534,2.56798,5.44537,3.15849,0.46778,0.0017228,0.0017228,0.0017228
9,6.16862,2.1705,2.51773,2.57479,0.38479,0.05641,0.25,0.01782,0.00713,2.56001,5.13349,3.09759,0.4681,0.0016832,0.0016832,0.0016832
10,6.81765,2.1048,2.37451,2.56193,0.31994,0.03191,0.375,0.01293,0.00229,2.48973,4.51758,3.18446,0.3679,0.0016436,0.0016436,0.0016436
11,7.44604,2.05845,2.27421,2.51261,0.36079,0.04828,0.4375,0.03274,0.00558,2.48338,4.03774,3.38417,0.32354,0.001604,0.001604,0.001604
12,8.07603,2.05192,2.27915,2.61266,0.30339,0.08886,0.3125,0.04375,0.0114,2.47319,3.60683,3.17657,0.29629,0.0015644,0.0015644,0.0015644
13,8.7248,1.97336,2.21934,2.43675,0.37625,0.13516,0.3125,0.06058,0.01726,2.57436,3.74869,3.3962,0.39465,0.0015248,0.0015248,0.0015248
14,9.35854,1.96081,2.19585,2.54682,0.3238,0.1748,0.3125,0.07264,0.01432,2.90035,3.78428,3.59423,0.52473,0.0014852,0.0014852,0.0014852
15,9.98834,2.00005,2.20635,2.44921,0.32419,0.13937,0.25,0.04715,0.01139,2.81947,3.86745,3.60055,0.42032,0.0014456,0.0014456,0.0014456
16,10.6248,1.92984,2.18496,2.46598,0.30256,0.16277,0.25,0.04261,0.00672,2.52599,3.78943,3.24854,0.24619,0.001406,0.001406,0.001406
17,11.2513,1.87869,1.98014,2.39346,0.30797,0.16032,0.25,0.07274,0.02135,2.59181,3.42564,3.16841,0.24011,0.0013664,0.0013664,0.0013664
18,11.8921,1.83898,1.91738,2.49828,0.29825,0.38279,0.25,0.13431,0.05008,2.75221,3.24627,3.1433,0.39358,0.0013268,0.0013268,0.0013268
19,12.5537,1.76661,1.89527,2.40343,0.31101,0.43923,0.25,0.17291,0.04748,2.86218,3.40688,3.40881,0.47683,0.0012872,0.0012872,0.0012872
20,13.1792,1.85678,1.85045,2.39783,0.26562,0.62792,0.25,0.25594,0.09909,2.70027,4.11887,3.52163,0.49117,0.0012476,0.0012476,0.0012476
21,13.8176,1.8,1.90513,2.40773,0.32343,0.54141,0.25,0.205,0.13133,2.43735,3.59484,3.39433,0.28997,0.001208,0.001208,0.001208
22,14.4559,1.7485,1.81818,2.41441,0.27715,0.23492,0.25,0.157,0.06947,2.25435,3.6855,3.47661,0.26193,0.0011684,0.0011684,0.0011684
23,15.0811,1.79583,1.71054,2.40456,0.339,0.22835,0.25,0.11333,0.0655,2.14137,3.59103,3.48832,0.27977,0.0011288,0.0011288,0.0011288
24,15.734,1.75632,1.68746,2.34978,0.29403,0.12421,0.125,0.03821,0.01308,2.64987,3.41195,4.3712,0.28639,0.0010892,0.0010892,0.0010892
25,16.3599,1.76872,1.67462,2.30865,0.29801,0.08163,0.25,0.02542,0.00916,2.84357,3.26729,4.52415,0.30194,0.0010496,0.0010496,0.0010496
26,16.9996,1.63859,1.67687,2.35556,0.26242,0.0601,0.07235,0.01322,0.00561,2.99194,3.34328,4.38826,0.3464,0.00101,0.00101,0.00101
27,17.6293,1.65712,1.64627,2.29986,0.26613,0.10155,0.0625,0.02083,0.01042,2.87718,3.30676,4.13909,0.35431,0.0009704,0.0009704,0.0009704
28,18.2611,1.6659,1.66111,2.31417,0.2932,0.26044,0.1875,0.12192,0.06161,2.64783,3.09419,3.8264,0.47141,0.0009308,0.0009308,0.0009308
29,18.9179,1.63465,1.60854,2.34089,0.25539,0.27332,0.1875,0.1025,0.05333,2.60044,3.19362,3.87084,0.47509,0.0008912,0.0008912,0.0008912
30,19.5579,1.6544,1.65134,2.39135,0.24469,0.38508,0.25,0.17471,0.08986,2.41471,2.98731,3.92297,0.37996,0.0008516,0.0008516,0.0008516
31,20.1823,1.70237,1.58845,2.30903,0.29204,0.35075,0.25,0.17471,0.08986,2.40179,2.96881,3.88474,0.35782,0.000812,0.000812,0.000812
32,20.8334,1.61932,1.44199,2.28667,0.27049,0.32135,0.25,0.145,0.06804,2.56435,3.09966,3.84697,0.33762,0.0007724,0.0007724,0.0007724
33,21.4545,1.58567,1.37874,2.24751,0.28459,0.3037,0.25,0.12765,0.05415,2.63794,3.20004,3.90851,0.38162,0.0007328,0.0007328,0.0007328
34,22.0863,1.57953,1.47582,2.25925,0.27712,0.22642,0.25,0.08,0.026,2.71763,3.41506,3.96115,0.38889,0.0006932,0.0006932,0.0006932
35,22.7288,1.61704,1.44828,2.24836,0.26002,0.24206,0.25,0.082,0.03198,2.7027,3.39867,3.89808,0.38411,0.0006536,0.0006536,0.0006536
36,23.3555,1.63226,1.4801,2.29559,0.29321,0.24687,0.25,0.13929,0.05929,2.65629,3.1713,3.80263,0.33053,0.000614,0.000614,0.000614
