epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,0.634552,2.51024,4.69087,3.1975,0.30462,0.00459,1,0.01432,0.00813,1.72976,6.56615,3.85683,0.35764,0.000333333,0.000333333,0.000333333
2,0.995551,2.29349,4.33459,3.59638,0.22361,0.00449,1,0.01746,0.00873,1.98431,6.10538,3.68943,0.45936,0.0009802,0.0009802,0.0009802
3,1.25564,2.5743,4.50057,3.31343,0.2288,0.00449,1,0.01746,0.00873,1.98431,6.10538,3.68943,0.45936,0.00160067,0.00160067,0.00160067
4,1.50764,2.57275,4.53655,3.52158,0.2806,0.00449,1,0.01716,0.0065,2.20526,5.26551,3.60043,0.50711,0.0018812,0.0018812,0.0018812
5,1.75764,2.07554,5.82108,3.23539,0.15745,0.00449,1,0.01716,0.0065,2.20526,5.26551,3.60043,0.50711,0.0018416,0.0018416,0.0018416
6,2.01519,2.19158,4.65266,3.16195,0.31874,0.00443,1,0.01144,0.00334,2.34571,5.05685,3.68746,0.51776,0.001802,0.001802,0.001802
7,2.26319,2.61129,5.15852,3.51901,0.28405,0.00443,1,0.01144,0.00334,2.34571,5.05685,3.68746,0.51776,0.0017624,0.0017624,0.0017624
8,2.51319,2.77437,4.62514,3.10976,0.3108,0.00442,1,0.00905,0.00258,2.42002,5.00873,3.52162,0.56876,0.0017228,0.0017228,0.0017228
9,2.76019,2.73339,5.43251,3.26105,0.29474,0.00442,1,0.00905,0.00258,2.42002,5.00873,3.52162,0.56876,0.0016832,0.0016832,0.0016832
10,3.02321,2.69029,4.55306,3.13598,0.25304,0.00418,1,0.00921,0.0026,2.39334,5.43202,3.34916,0.60109,0.0016436,0.0016436,0.0016436
11,3.2722,2.48601,4.24835,3.06095,0.22199,0.00418,1,0.00921,0.0026,2.39334,5.43202,3.34916,0.60109,0.001604,0.001604,0.001604
12,3.5792,2.76008,4.59366,3.07435,0.27352,0.00755,1,0.0321,0.01288,2.17707,4.70987,3.40157,0.48654,0.0015644,0.0015644,0.0015644
13,3.93321,2.36418,3.69316,3.88051,0.15887,0.00755,1,0.0321,0.01288,2.17707,4.70987,3.40157,0.48654,0.0015248,0.0015248,0.0015248
14,4.29721,2.14376,3.74232,2.88897,0.30765,0.0038,1,0.00385,0.00087,2.72496,57.7692,3.15779,0.40845,0.0014852,0.0014852,0.0014852
15,4.64321,2.62687,3.58636,2.62276,0.34796,0.0038,1,0.00385,0.00087,2.72496,57.7692,3.15779,0.40845,0.0014456,0.0014456,0.0014456
16,4.99521,2.38437,4.15395,2.85374,0.29025,0.01747,0.5,0.02499,0.00631,2.04307,6.1229,3.37551,0.65353,0.001406,0.001406,0.001406
17,5.33921,2.08723,3.3447,2.56428,0.2408,0.01747,0.5,0.02499,0.00631,2.04307,6.1229,3.37551,0.65353,0.0013664,0.0013664,0.0013664
18,5.6962,1.86695,5.13832,2.28509,0.49089,0.01512,0.5,0.02037,0.00605,2.51764,6.05478,3.09419,0.5176,0.0013268,0.0013268,0.0013268
19,6.0642,2.57261,3.57748,2.64876,0.12458,0.01512,0.5,0.02037,0.00605,2.51764,6.05478,3.09419,0.5176,0.0012872,0.0012872,0.0012872
20,6.4302,2.23054,3.06515,2.51168,0.21589,0.07065,0.5,0.0495,0.03465,2.21385,4.08771,3.38221,0.41699,0.0012476,0.0012476,0.0012476
21,6.80621,1.95848,3.10309,2.47388,0.16031,0.07065,0.5,0.0495,0.03465,2.21385,4.08771,3.38221,0.41699,0.001208,0.001208,0.001208
22,7.25021,1.80814,2.7551,2.3949,0.23248,0.4785,0.5,0.26833,0.10317,2.30067,5.46639,3.65989,0.51528,0.0011684,0.0011684,0.0011684
23,7.6292,1.85045,3.24475,2.50523,0.08883,0.4785,0.5,0.26833,0.10317,2.30067,5.46639,3.65989,0.51528,0.0011288,0.0011288,0.0011288
24,7.97921,0.94436,6.35193,1.20371,0.09808,0.32259,0.5,0.17599,0.0682,2.53843,6.52102,3.81779,0.61925,0.0010892,0.0010892,0.0010892
25,8.32221,1.88964,2.78892,2.39451,0.30572,0.32259,0.5,0.17599,0.0682,2.53843,6.52102,3.81779,0.61925,0.0010496,0.0010496,0.0010496
26,8.67621,2.07577,2.84118,2.81447,0.24973,0.18897,0.5,0.099,0.0396,2.58612,4.41585,3.70413,0.63423,0.00101,0.00101,0.00101
27,9.02521,1.82053,2.45243,2.54726,0.12365,0.18897,0.5,0.099,0.0396,2.58612,4.41585,3.70413,0.63423,0.0009704,0.0009704,0.0009704
28,9.3722,1.57926,2.98981,2.24566,0.11755,0.86867,0.5,0.495,0.2475,2.40759,3.32123,3.34401,0.6012,0.0009308,0.0009308,0.0009308
29,9.72621,1.98567,2.3065,2.56425,0.08271,0.86867,0.5,0.495,0.2475,2.40759,3.32123,3.34401,0.6012,0.0008912,0.0008912,0.0008912
30,10.0832,1.66506,2.01896,2.24382,0.17058,0.85304,0.5,0.495,0.3465,2.2507,3.18883,3.04215,0.59458,0.0008516,0.0008516,0.0008516
31,10.4392,1.72195,2.62765,2.62658,0.11888,0.85304,0.5,0.495,0.3465,2.2507,3.18883,3.04215,0.59458,0.000812,0.000812,0.000812
32,10.7942,1.50146,2.1671,2.09728,0.15393,0.47964,0.5,0.2475,0.17325,2.17324,3.23671,3.04398,0.51784,0.0007724,0.0007724,0.0007724
33,11.1362,1.78346,2.26841,2.30784,0.146,0.47964,0.5,0.2475,0.17325,2.17324,3.23671,3.04398,0.51784,0.0007328,0.0007328,0.0007328
34,11.4742,0.82345,5.65888,1.21831,0.03913,0.2025,0.5,0.165,0.066,2.57415,3.62711,3.3443,0.34304,0.0006932,0.0006932,0.0006932
35,11.8192,1.46765,2.17738,2.14766,0.07334,0.2025,0.5,0.165,0.066,2.57415,3.62711,3.3443,0.34304,0.0006536,0.0006536,0.0006536
36,12.2512,2.15935,3.00993,3.44375,0.0413,0.03846,0.5,0.03536,0.01061,2.73492,3.98886,3.50479,0.33928,0.000614,0.000614,0.000614
37,12.5938,1.46044,2.2737,2.40567,0.18882,0.03846,0.5,0.03536,0.01061,2.73492,3.98886,3.50479,0.33928,0.0005744,0.0005744,0.0005744
38,12.9528,1.3361,1.91348,2.51321,0.0775,0.04762,0.5,0.033,0.0066,2.79738,3.92267,3.49916,0.36944,0.0005348,0.0005348,0.0005348
39,13.3128,1.51476,3.00114,2.01832,0.12259,0.04762,0.5,0.033,0.0066,2.79738,3.92267,3.49916,0.36944,0.0004952,0.0004952,0.0004952
40,13.6608,1.34564,1.83919,2.53723,0.07676,0.06667,0.5,0.07071,0.01414,2.83045,3.83907,3.42687,0.37626,0.0004556,0.0004556,0.0004556
41,16.6328,1.15319,1.98724,2.08955,0.04979,0.06667,0.5,0.07071,0.01414,2.83045,3.83907,3.42687,0.37626,0.000416,0.000416,0.000416
